blind_id,run_id,policy_id,model_family,prompt_strategy,prompt_set,strategy,corpus,flesch_reading_ease,word_compression_ratio,gemini_support_rate,gemini_weighted_alignment,coverage_weighted_rate,omission_rate,distortion_rate,hallucination_rate,minicheck_mean_probability
S333,b0920d80-1ece-4daf-b925-0a351f342bcd,OPP03,llama,safety_focused_direct,safety_focused,direct,OPP-115,23.89,0.0421,0.9473684210526315,0.9736842105263158,0.189873417721519,0.7468354430379747,0.05263157894736842,0.0,0.9561320104097065
S232,d6506d25-3202-4a47-9f0e-bd9772c404e8,OPP03,llama,safety_focused_role_guided,safety_focused,role_guided,OPP-115,19.43,0.0365,0.9375,0.9375,0.2278481012658227,0.6708860759493671,0.0,0.0625,0.7754418295808136
S271,d904f5bf-4e21-48bd-be96-1b543e684956,OPP03,llama,safety_focused_structured,safety_focused,structured,OPP-115,28.01,0.0292,1.0,1.0,0.2215189873417721,0.6835443037974683,0.0,0.0,0.9486982449889183
S389,2afdd40e-8751-419f-8298-7f9fc104dc36,OPP03,mistral,basic_direct,basic,direct,OPP-115,42.69,0.0281,0.8823529411764706,0.9117647058823529,0.2911392405063291,0.6075949367088608,0.058823529411764705,0.058823529411764705,0.7392930988879765
S428,b14b6c15-a502-46b1-af78-030465841b72,OPP03,mistral,basic_role_guided,basic,role_guided,OPP-115,55.71,0.0524,0.8064516129032258,0.8387096774193549,0.3924050632911392,0.6075949367088608,0.06451612903225806,0.12903225806451613,0.8205792198498403
S144,79efbbb3-5de2-4692-a6f0-b2b1aa4bc17f,OPP03,mistral,basic_structured,basic,structured,OPP-115,40.94,0.0211,0.9333333333333333,0.9333333333333333,0.2911392405063291,0.620253164556962,0.0,0.06666666666666667,0.7823991055289904
S217,c5f343e1-8e69-4a70-a60e-cf575040de6a,OPP03,mistral,safety_focused_direct,safety_focused,direct,OPP-115,46.44,0.0458,0.9285714285714286,0.9464285714285714,0.3544303797468354,0.5569620253164557,0.03571428571428571,0.03571428571428571,0.8301631914717811
S216,d4f1ce6b-1e83-4660-ae96-77f73d33b1f3,OPP03,mistral,safety_focused_role_guided,safety_focused,role_guided,OPP-115,52.58,0.0566,0.9696969696969697,0.9696969696969697,0.4746835443037974,0.5063291139240507,0.0,0.030303030303030304,0.8732083065040184
S172,afed37d6-4f67-4b2e-b5da-496c82dffc58,OPP03,mistral,safety_focused_structured,safety_focused,structured,OPP-115,51.99,0.0643,0.9473684210526315,0.9473684210526315,0.4936708860759494,0.4936708860759494,0.0,0.05263157894736842,0.8263186315368665
S348,aed71716-dcc1-40f7-84b0-f28420a16890,OPP04,gpt,basic_direct,basic,direct,OPP-115,49.05,0.2323,1.0,1.0,1.0,0.0,0.0,0.0,0.8782849414274096
S048,a4e0e4c0-6f99-48ac-80e8-07462abbc73d,OPP04,gpt,basic_role_guided,basic,role_guided,OPP-115,53.42,0.2348,1.0,1.0,0.9473684210526316,0.0,0.0,0.0,0.9516253541497623
S338,2981f5e1-5870-4c7d-b8eb-62f1be20ef1a,OPP04,gpt,basic_structured,basic,structured,OPP-115,51.68,0.2963,0.8636363636363636,0.9090909090909091,0.9210526315789472,0.0526315789473684,0.09090909090909091,0.045454545454545456,0.8840140795165842
S377,f388f25e-b7f4-4ac3-a617-1300ecfb3463,OPP04,gpt,safety_focused_direct,safety_focused,direct,OPP-115,37.12,0.3409,1.0,1.0,1.0,0.0,0.0,0.0,0.9016977805982936
S034,a8bdc8d7-46de-4c49-ae8c-0f4637e5a787,OPP04,gpt,safety_focused_role_guided,safety_focused,role_guided,OPP-115,38.93,0.3316,1.0,1.0,1.0,0.0,0.0,0.0,0.9084170849426932
S147,c23ee7a3-a15a-4857-9d9e-4b714a248d7d,OPP04,gpt,safety_focused_structured,safety_focused,structured,OPP-115,42.9,0.346,0.9583333333333334,0.9583333333333334,1.0,0.0,0.0,0.041666666666666664,0.8824658750866851
S208,7ccf007f-3a82-4415-a195-4aff5934d366,OPP04,llama,basic_direct,basic,direct,OPP-115,48.4,0.2264,0.8461538461538461,0.9230769230769231,0.5789473684210527,0.2105263157894736,0.15384615384615385,0.0,0.9463332066169152
S209,c04ac9b4-5a09-47ff-8f7a-a35dde944d4c,OPP04,llama,basic_role_guided,basic,role_guided,OPP-115,51.77,0.2045,0.8181818181818182,0.9090909090909091,0.5526315789473685,0.3157894736842105,0.18181818181818182,0.0,0.9474779313260858
S083,e806a22f-9d5a-42f5-b2b8-d24a77bf0d22,OPP04,llama,basic_structured,basic,structured,OPP-115,43.6,0.2315,0.9166666666666666,0.9583333333333334,0.5526315789473685,0.2631578947368421,0.08333333333333333,0.0,0.9523165176312128
S150,d656e7e8-df6a-4172-be4b-808281222a7e,OPP04,llama,safety_focused_direct,safety_focused,direct,OPP-115,38.27,0.2609,1.0,1.0,0.7631578947368421,0.2105263157894736,0.0,0.0,0.903478776033108
S067,c2334ba6-07df-44fd-ad26-027267d4dd42,OPP04,llama,safety_focused_role_guided,safety_focused,role_guided,OPP-115,43.52,0.2694,1.0,1.0,0.7894736842105263,0.1578947368421052,0.0,0.0,0.9112030863761902
S432,987bb65a-bb06-462a-ac01-eb55724970c0,OPP04,llama,safety_focused_structured,safety_focused,structured,OPP-115,44.56,0.234,0.9285714285714286,0.9642857142857143,0.6578947368421053,0.2631578947368421,0.07142857142857142,0.0,0.9418762624263763
S193,87b3ac73-731f-4a87-94b5-3a1a841f5286,OPP04,mistral,basic_direct,basic,direct,OPP-115,39.35,0.2837,1.0,1.0,0.8947368421052632,0.0526315789473684,0.0,0.0,0.9195091110818526
S142,bd86df6e-a509-472e-abb6-f0f364b6d1e6,OPP04,mistral,basic_role_guided,basic,role_guided,OPP-115,47.61,0.3056,0.8421052631578947,0.9210526315789473,0.8947368421052632,0.1052631578947368,0.15789473684210525,0.0,0.8981788266254099
S130,33c9096f-1712-48b9-a8f0-dc10df747f17,OPP04,mistral,basic_structured,basic,structured,OPP-115,42.36,0.2113,0.8333333333333334,0.9166666666666666,0.7894736842105263,0.1578947368421052,0.16666666666666666,0.0,0.7982281368846694
S026,30ba5712-c073-4311-9def-e22af3120660,OPP04,mistral,safety_focused_direct,safety_focused,direct,OPP-115,38.07,0.3384,0.85,0.925,0.868421052631579,0.0526315789473684,0.15,0.0,0.8640985190868378
S328,abee2321-331a-4929-9a7e-fa278fe991a6,OPP04,mistral,safety_focused_role_guided,safety_focused,role_guided,OPP-115,37.53,0.2769,0.9411764705882353,0.9705882352941176,0.9210526315789472,0.0526315789473684,0.058823529411764705,0.0,0.8924408625153935
S279,af86df5b-3821-4f77-b312-00a2184ccb71,OPP04,mistral,safety_focused_structured,safety_focused,structured,OPP-115,40.97,0.2736,1.0,1.0,0.9473684210526316,0.0526315789473684,0.0,0.0,0.8540015108883381
S274,b0702194-a590-4671-a80b-0a4e449e29d3,OPP05,gpt,basic_direct,basic,direct,OPP-115,30.25,0.2288,1.0,1.0,0.9117647058823528,0.0588235294117647,0.0,0.0,0.8742444833310751
S213,2553ea48-a353-4e4a-a34a-d3c9542827a5,OPP05,gpt,basic_role_guided,basic,role_guided,OPP-115,38.74,0.2492,1.0,1.0,0.8970588235294118,0.0588235294117647,0.0,0.0,0.9392514005303383
S408,4dc08b7e-013f-4378-9e92-45195cfb0dd9,OPP05,gpt,basic_structured,basic,structured,OPP-115,33.9,0.2407,1.0,1.0,0.8970588235294118,0.0588235294117647,0.0,0.0,0.8599444182011587
